Chargement du dataset CelebA...
Je charge 202599 images depuis data/celeba/img_align_celeba/

============================================================
DÉMARRAGE DE L'ENTRAÎNEMENT DU GAN
============================================================

Créations des modèless
Générateur : 2,733,507 paramètres
Discriminateur : 1,045,633 paramètres

Optimiseurs Adam :
  - Générateur : lr=0.0001, beta_1=0.5, beta_2=0.999
  - Discriminateur : lr=0.0002, beta_1=0.5, beta_2=0.999

Configuration :
  - Epochs : 1000
  - Batch size : 128
  - Image size : 64x64
  - Noise dim : 100
  - Save interval : 100

============================================================
DÉBUT DE L'ENTRAÎNEMENT
============================================================

Epoch 00163 |`G Loss: 3.9551 | D Loss: 0.3098 | Time: 19.59s
Epoch 00164 |`G Loss: 3.8366 | D Loss: 0.2416 | Time: 18.36s
Epoch 00165 |`G Loss: 3.3021 | D Loss: 0.4630 | Time: 18.31s
Epoch 00166 |`G Loss: 3.2350 | D Loss: 0.3201 | Time: 18.38s
Epoch 00167 |`G Loss: 3.0165 | D Loss: 0.2434 | Time: 18.45s
Epoch 00168 |`G Loss: 4.1163 | D Loss: 0.1806 | Time: 18.26s
Epoch 00169 |`G Loss: 3.8882 | D Loss: 0.4299 | Time: 18.34s
Epoch 00170 |`G Loss: 4.3913 | D Loss: 0.2755 | Time: 18.93s
Epoch 00171 |`G Loss: 4.2415 | D Loss: 0.3316 | Time: 18.77s
Epoch 00172 |`G Loss: 3.8810 | D Loss: 0.4158 | Time: 18.65s
Epoch 00173 |`G Loss: 4.1583 | D Loss: 0.1998 | Time: 18.60s
Epoch 00174 |`G Loss: 3.9399 | D Loss: 0.3122 | Time: 18.19s
Epoch 00175 |`G Loss: 4.3687 | D Loss: 0.3134 | Time: 18.13s
Epoch 00176 |`G Loss: 3.4007 | D Loss: 0.2823 | Time: 18.21s
Epoch 00177 |`G Loss: 4.7378 | D Loss: 0.2270 | Time: 18.28s
Epoch 00178 |`G Loss: 4.1074 | D Loss: 0.3671 | Time: 18.37s
Epoch 00179 |`G Loss: 2.5325 | D Loss: 0.5599 | Time: 18.50s
Epoch 00180 |`G Loss: 4.5690 | D Loss: 0.2381 | Time: 18.42s
Epoch 00181 |`G Loss: 4.2019 | D Loss: 0.2397 | Time: 18.71s
Epoch 00182 |`G Loss: 3.3757 | D Loss: 0.4248 | Time: 18.44s
Epoch 00183 |`G Loss: 4.7397 | D Loss: 0.1928 | Time: 19.47s
Epoch 00184 |`G Loss: 4.8605 | D Loss: 0.3663 | Time: 20.01s
Epoch 00185 |`G Loss: 4.1849 | D Loss: 0.3197 | Time: 18.44s
Epoch 00186 |`G Loss: 2.6003 | D Loss: 0.4490 | Time: 18.15s
Epoch 00187 |`G Loss: 5.3279 | D Loss: 0.5210 | Time: 18.35s
Epoch 00188 |`G Loss: 4.0970 | D Loss: 0.1644 | Time: 18.43s
Epoch 00189 |`G Loss: 3.6262 | D Loss: 0.2704 | Time: 18.34s
Epoch 00190 |`G Loss: 4.5150 | D Loss: 0.2168 | Time: 18.38s
Epoch 00191 |`G Loss: 5.0922 | D Loss: 0.3893 | Time: 18.44s
Epoch 00192 |`G Loss: 4.0756 | D Loss: 0.3089 | Time: 18.43s
