Je charge 202599 images depuis data/celeba/img_align_celeba
  step  1000 | G 1.5470 | D 0.8734
  step  1100 | G 1.5311 | D 0.7887
  step  1200 | G 1.5097 | D 0.8115
  step  1300 | G 1.4452 | D 0.9237
  step  1400 | G 1.8905 | D 0.9231
  step  1500 | G 1.5732 | D 0.9550
Epoch 00019 | G Loss: 1.6005 | D Loss: 0.9732 | Time: 1580.17s
  step   100 | G 1.7910 | D 0.9280
  step   200 | G 1.8697 | D 0.9663
  step   300 | G 1.2273 | D 0.9842
  step   400 | G 1.8633 | D 1.1100
  step   500 | G 1.4066 | D 0.8824
  step   600 | G 1.4674 | D 1.0034
  step   700 | G 1.4804 | D 1.0269
  step   800 | G 1.6803 | D 0.9123
  step   900 | G 1.7183 | D 0.9657
  step  1000 | G 1.7342 | D 0.9393
  step  1100 | G 1.3251 | D 0.8850
  step  1200 | G 1.6453 | D 0.9906
  step  1300 | G 1.7318 | D 1.0327
  step  1400 | G 1.2695 | D 1.1921
  step  1500 | G 1.6434 | D 0.9103
Epoch 00020 | G Loss: 1.6374 | D Loss: 0.9455 | Time: 1557.33s
  step   100 | G 1.4891 | D 0.8288
  step   200 | G 1.5134 | D 1.0553
  step   300 | G 1.7010 | D 1.0709
  step   400 | G 1.6270 | D 0.9462
  step   500 | G 1.7005 | D 0.8735
  step   600 | G 1.5151 | D 0.8093
  step   700 | G 1.9045 | D 1.0830
  step   800 | G 1.7970 | D 0.9448
  step   900 | G 1.5810 | D 0.9854
  step  1000 | G 1.6830 | D 0.9140
  step  1100 | G 1.9144 | D 1.0804
  step  1200 | G 1.8479 | D 0.8096
  step  1300 | G 1.5952 | D 0.9046
  step  1400 | G 1.6513 | D 0.9412
  step  1500 | G 1.3703 | D 0.7507
Epoch 00021 | G Loss: 1.6376 | D Loss: 0.9386 | Time: 1554.75s
  step   100 | G 1.8885 | D 0.9296
  step   200 | G 1.3947 | D 1.0147
  step   300 | G 1.4368 | D 1.0029
  step   400 | G 1.4249 | D 1.1896
  step   500 | G 1.5039 | D 0.8384
  step   600 | G 1.4606 | D 1.0087
  step   700 | G 1.6956 | D 0.9309
  step   800 | G 1.8905 | D 0.9202
  step   900 | G 1.7280 | D 1.0379
  step  1000 | G 1.6287 | D 0.9424
  step  1100 | G 1.8383 | D 0.9779
  step  1200 | G 1.7266 | D 0.7699
  step  1300 | G 1.3204 | D 1.0584
  step  1400 | G 1.4495 | D 0.9087
  step  1500 | G 1.6873 | D 1.1124
Epoch 00022 | G Loss: 1.6135 | D Loss: 0.9599 | Time: 1550.32s
  step   100 | G 1.6109 | D 0.8631
  step   200 | G 2.3958 | D 1.0543
  step   300 | G 1.7800 | D 0.8814
  step   400 | G 1.9873 | D 1.0620
  step   500 | G 1.8425 | D 0.8374
  step   600 | G 1.9368 | D 0.8990
  step   700 | G 1.6548 | D 0.8831
  step   800 | G 2.0050 | D 0.9057
  step   900 | G 1.7482 | D 0.7663
  step  1000 | G 1.7076 | D 1.5524
  step  1100 | G 1.2834 | D 0.9499
  step  1200 | G 1.6698 | D 0.9346
  step  1300 | G 1.5396 | D 0.8217
  step  1400 | G 1.6858 | D 0.9112
  step  1500 | G 1.4439 | D 1.0253
Epoch 00023 | G Loss: 1.6263 | D Loss: 0.9652 | Time: 1554.23s
  step   100 | G 1.7811 | D 0.9608
  step   200 | G 1.7713 | D 0.9215
  step   300 | G 1.5288 | D 0.8152
  step   400 | G 1.8209 | D 0.8274
  step   500 | G 1.8494 | D 0.9622
  step   600 | G 1.3777 | D 0.8419
  step   700 | G 1.6389 | D 0.8956
  step   800 | G 1.2725 | D 0.8630
  step   900 | G 1.5538 | D 0.9877
  step  1000 | G 1.4826 | D 0.9389
  step  1100 | G 1.2374 | D 0.8906
  step  1200 | G 1.7854 | D 0.8717
  step  1300 | G 1.2419 | D 1.0042
  step  1400 | G 1.5477 | D 0.9227
  step  1500 | G 1.7679 | D 0.9842
Epoch 00024 | G Loss: 1.6470 | D Loss: 0.9312 | Time: 1548.88s
  step   100 | G 2.0789 | D 0.9941
  step   200 | G 1.8181 | D 0.7987
  step   300 | G 1.5692 | D 0.9411
  step   400 | G 1.7228 | D 0.9437
  step   500 | G 1.9722 | D 0.9058
  step   600 | G 1.7256 | D 0.9158
  step   700 | G 1.4782 | D 0.9080
  step   800 | G 1.7112 | D 0.8370
  step   900 | G 0.9857 | D 1.0876
  step  1000 | G 1.4875 | D 0.9143
  step  1100 | G 1.6260 | D 0.9956
  step  1200 | G 1.6702 | D 0.9356
  step  1300 | G 1.8640 | D 0.9617
  step  1400 | G 1.4675 | D 0.9431
  step  1500 | G 1.5929 | D 0.8290
Epoch 00025 | G Loss: 1.6756 | D Loss: 0.9319 | Time: 1550.94s
  step   100 | G 1.4570 | D 0.8542
  step   200 | G 1.0009 | D 0.9981
  step   300 | G 1.7593 | D 1.0133
  step   400 | G 1.4562 | D 0.9641
  step   500 | G 1.9165 | D 0.8325
  step   600 | G 1.7693 | D 0.9302
  step   700 | G 2.1943 | D 0.8323
  step   800 | G 1.8863 | D 0.9658
  step   900 | G 1.7323 | D 0.9392
  step  1000 | G 1.8271 | D 0.8439
  step  1100 | G 1.5968 | D 1.0944
  step  1200 | G 1.2893 | D 1.2427
  step  1300 | G 1.4719 | D 1.0190
  step  1400 | G 1.6190 | D 1.0005
  step  1500 | G 1.6444 | D 0.8414
Epoch 00026 | G Loss: 1.6526 | D Loss: 0.9653 | Time: 1552.04s
  step   100 | G 1.3081 | D 0.9154
  step   200 | G 1.6388 | D 0.8641
  step   300 | G 2.0755 | D 0.9292
  step   400 | G 1.4292 | D 0.9225
  step   500 | G 1.4212 | D 1.0224
  step   600 | G 1.8859 | D 1.0814
  step   700 | G 1.2122 | D 0.8836
  step   800 | G 1.7188 | D 0.7358
  step   900 | G 1.7273 | D 1.0044
  step  1000 | G 1.5760 | D 0.9343
  step  1100 | G 1.4637 | D 0.8626
  step  1200 | G 1.7631 | D 0.9644
  step  1300 | G 1.9713 | D 0.9546
  step  1400 | G 1.9520 | D 0.9675
  step  1500 | G 1.5758 | D 0.9143
Epoch 00027 | G Loss: 1.6655 | D Loss: 0.9234 | Time: 1549.41s
  step   100 | G 1.4809 | D 0.9528
  step   200 | G 1.5496 | D 0.8832
  step   300 | G 1.6865 | D 0.9062
  step   400 | G 2.1521 | D 0.9625
  step   500 | G 1.9402 | D 1.0597
  step   600 | G 1.4444 | D 0.9643
  step   700 | G 1.8131 | D 0.8978
  step   800 | G 1.2939 | D 1.4220
  step   900 | G 1.6027 | D 0.8863
  step  1000 | G 1.5698 | D 0.9389
  step  1100 | G 1.7640 | D 0.8220
  step  1200 | G 1.7923 | D 0.8537
  step  1300 | G 1.8366 | D 0.9023
  step  1400 | G 1.5823 | D 0.8800
  step  1500 | G 1.7191 | D 0.9699
Epoch 00028 | G Loss: 1.6354 | D Loss: 0.9689 | Time: 1550.60s
  step   100 | G 1.7606 | D 0.7681
  step   200 | G 1.3259 | D 0.8999
  step   300 | G 2.0223 | D 0.7265
  step   400 | G 1.6758 | D 0.7716
  step   500 | G 1.4522 | D 0.7761
